arc,orig,dest,cost
1,1,10,7
2,1,12,6
3,1,13,9
4,2,3,2
5,2,4,5
6,2,5,3
7,2,6,6
8,2,7,7
9,2,8,8
10,2,10,4
11,2,12,2
12,2,16,9
13,2,19,3
14,3,2,9
15,3,4,10
16,3,5,3
17,3,6,1
18,3,8,4
19,3,10,5
20,3,16,3
21,3,19,4
22,4,2,3
23,4,3,7
24,4,5,2
25,4,6,8
26,4,7,2
27,4,8,9
28,4,10,11
29,4,12,8
30,4,16,10
31,4,19,11
32,5,2,2
33,5,3,10
34,5,4,4
35,5,6,1
36,5,8,3
37,5,15,7
38,5,16,5
39,5,19,0.4462004345664064
40,6,2,0.4266914414416353
41,6,3,0.14906247553341012
42,6,4,0.0854259864839076
43,6,5,0.31781860172285725
44,6,10,0.45560662336539964
45,6,16,0.2114850358948216
46,7,2,0.3969377140400761
47,7,4,0.41635631141035273
48,7,8,0.24415760507715573
49,7,9,0.10551786949205323
50,7,15,0.437403390718305
51,7,18,0.38558788976989644
52,7,19,0.11229997623633642
53,7,20,0.33233387503496115
54,8,2,0.4785939645253595
55,8,3,0.38319599223092987
56,8,4,0.4356810646967011
57,8,5,0.4588848318569393
58,8,7,0.3681470251503239
59,8,9,0.04198327656852221
60,8,15,0.48644335380355785
61,8,18,0.1263941957276452
62,8,19,0.3105843283308104
63,8,20,0.19381996096190104
64,9,7,0.10588120780552362
65,9,8,0.4124414326213201
66,9,11,0.4761717574958793
67,9,14,0.18177742932853863
68,9,17,0.43760841825657754
69,9,18,0.3786596915512503
70,9,19,0.1252090984953947
71,10,1,0.2190728131477511
72,10,2,0.12699596146120692
73,10,3,0.05585233885403088
74,10,4,0.3987891835837174
75,10,6,0.27999335846044243
76,10,12,0.4165367733368605
77,10,13,0.44690269603237387
78,10,16,0.3146514973871534
79,11,9,0.21373958206809626
80,11,14,0.1080592839223511
81,11,17,0.4628560217901335
82,12,1,0.2608378193133076
83,12,2,0.322149255477103
84,12,4,0.491630772885634
85,12,10,0.3750549232695854
86,12,13,0.48246746044005173
87,13,1,0.20137818363185353
88,13,10,0.20674065804814543
89,13,12,0.3624631532331845
90,13,14,0.16758043739620473
91,14,9,0.355151587944102
92,14,11,0.21176880866887143
93,14,13,0.313621815539484
94,14,17,0.4685674609323683
95,15,5,0.4144446454576373
96,15,7,0.2023006699567306
97,15,8,0.5124144353320101
98,15,16,0.35172506687526595
99,15,18,0.3768454409066848
100,15,19,0.12012350141414953
101,15,20,0.4994563813149518
102,16,2,0.08286879761891167
103,16,3,0.25236174022230884
104,16,4,0.452106678481844
105,16,5,0.2037677606461888
106,16,6,0.12129572340962448
107,16,10,0.10692307331382407
108,16,15,0.17567995646076143
109,17,9,0.3040240382208413
110,17,11,0.446172424891955
111,17,14,0.2777686507843724
112,18,7,0.48613221726694844
113,18,8,0.31637629645783677
114,18,9,0.43826622192566717
115,18,15,0.4480352510672719
116,18,19,0.25658367514454467
117,18,20,0.33452495548868016
118,19,2,0.45325530491927263
119,19,3,0.33219107332909215
120,19,4,0.37228966618947745
121,19,5,0.10766379637255195
122,19,7,0.05691625828008331
123,19,8,0.2742572991045045
124,19,9,0.1819425594134624
125,19,15,0.45766057682016004
126,19,18,0.2826654685996091
127,19,20,0.40817073852380203
128,20,7,0.25182318075940735
129,20,8,0.4081778208079102
130,20,15,0.3995214537901714
131,20,18,0.30267864103871117
132,20,19,0.34931358405380414
